Country,Medal,Name,Sport,Event,Date
Japon,,"Takaaki Sugino
Shinnosuke Oka
Daiki Hashimoto
Kazuma Kaya
Wataru Tanigawa",Judo,Mixed team,8/3/2024
Japon,,"Takaaki Sugino
Shinnosuke Oka
Daiki Hashimoto
Kazuma Kaya
Wataru Tanigawa",Sailing,Mixed 470,8/8/2024
Japon,,"Takaaki Sugino
Shinnosuke Oka
Daiki Hashimoto
Kazuma Kaya
Wataru Tanigawa",Table tennis,Women's team,8/10/2024
Japon,,"Takaaki Sugino
Shinnosuke Oka
Daiki Hashimoto
Kazuma Kaya
Wataru Tanigawa",Equestrian,Team eventing,7/29/2024
Japon,,"Takaaki Sugino
Shinnosuke Oka
Daiki Hashimoto
Kazuma Kaya
Wataru Tanigawa",Fencing,Women's team foil,8/1/2024
Japon,,"Takaaki Sugino
Shinnosuke Oka
Daiki Hashimoto
Kazuma Kaya
Wataru Tanigawa",Badminton,Mixed doubles,8/2/2024
Japon,,"Takaaki Sugino
Shinnosuke Oka
Daiki Hashimoto
Kazuma Kaya
Wataru Tanigawa",Badminton,Women's doubles,8/3/2024
Japon,,"Takaaki Sugino
Shinnosuke Oka
Daiki Hashimoto
Kazuma Kaya
Wataru Tanigawa",Fencing,Women's team sabre,8/3/2024
Japon,,Takanori Nagase,Judo,Men's 81 kg,7/30/2024
Japon,,Tomoyuki Matsushita,Swimming,Men's 400 m individual medley,7/28/2024
Japon,,Tsugumi Sakurai,Wrestling,Women's freestyle 57 kg,8/9/2024
Japon,,Yui Susaki,Wrestling,Women's freestyle 50 kg,8/7/2024
